id,prefectureCode,municipalityCode,name,nameKana,municipalityType,entityType,parentMunicipality,lifecycleStatus,officialUrl,sourceUrl
jp-40133,40,401331,中央区,ちゅうおうく,administrative_ward,administrative_ward,福岡市,current,,https://www.e-stat.go.jp/municipalities/cities/areacode?page=82
jp-40134,40,401340,南区,みなみく,administrative_ward,administrative_ward,福岡市,current,,https://www.e-stat.go.jp/municipalities/cities/areacode?page=82
jp-40135,40,401358,西区,にしく,administrative_ward,administrative_ward,福岡市,current,,https://www.e-stat.go.jp/municipalities/cities/areacode?page=82
jp-40136,40,401366,城南区,じょうなんく,administrative_ward,administrative_ward,福岡市,current,,https://www.e-stat.go.jp/municipalities/cities/areacode?page=83
jp-40137,40,401374,早良区,さわらく,administrative_ward,administrative_ward,福岡市,current,,https://www.e-stat.go.jp/municipalities/cities/areacode?page=83
jp-40202,40,402028,大牟田市,おおむたし,city,municipality,,current,https://www.city.omuta.lg.jp/,https://www.city.omuta.lg.jp/
jp-40203,40,402036,久留米市,くるめし,city,municipality,,current,https://www.city.kurume.fukuoka.jp/,https://www.city.kurume.fukuoka.jp/
jp-40204,40,402044,直方市,のおがたし,city,municipality,,current,https://www.city.nogata.fukuoka.jp/,https://www.city.nogata.fukuoka.jp/
jp-40205,40,402052,飯塚市,いいづかし,city,municipality,,current,https://www.city.iizuka.lg.jp/,https://www.city.iizuka.lg.jp/
jp-40206,40,402060,田川市,たがわし,city,municipality,,current,https://www.joho.tagawa.fukuoka.jp/,https://www.joho.tagawa.fukuoka.jp/
jp-40207,40,402079,柳川市,やながわし,city,municipality,,current,https://www.city.yanagawa.fukuoka.jp/,https://www.city.yanagawa.fukuoka.jp/
jp-40210,40,402109,八女市,やめし,city,municipality,,current,https://www.city.yame.fukuoka.jp/,https://www.city.yame.fukuoka.jp/
jp-40211,40,402117,筑後市,ちくごし,city,municipality,,current,https://www.city.chikugo.lg.jp/,https://www.city.chikugo.lg.jp/
jp-40212,40,402125,大川市,おおかわし,city,municipality,,current,https://www.city.okawa.fukuoka.jp/,https://www.city.okawa.fukuoka.jp/
jp-40213,40,402133,行橋市,ゆくはしし,city,municipality,,current,https://www.city.yukuhashi.fukuoka.jp/,https://www.city.yukuhashi.fukuoka.jp/
jp-40214,40,402141,豊前市,ぶぜんし,city,municipality,,current,https://www.city.buzen.lg.jp/,https://www.city.buzen.lg.jp/
jp-40215,40,402150,中間市,なかまし,city,municipality,,current,https://www.city.nakama.lg.jp/,https://www.city.nakama.lg.jp/
jp-40216,40,402168,小郡市,おごおりし,city,municipality,,current,https://www.city.ogori.fukuoka.jp/,https://www.city.ogori.fukuoka.jp/
